"Latest: Time (ms)","Latest: Sound Pressure","Latest: Offset Pressure (arbitrary)","Run 1: Time (s)","Run 1: Sound Pressure","Run 1: Offset Pressure (arbitrary)"
1.94,2.35164835165,-0.351045906424,0.00194,4.33943833944,1.62459540607
1.96,2.35286935287,-0.349824905203,0.00196,3.96092796093,1.24608502756
1.98,2.35286935287,-0.349824905203,0.00198,3.96092796093,1.24608502756
2,2.35286935287,-0.349824905203,0.002,2.61904761905,-0.0957953143163
2.02,2.35286935287,-0.349824905203,0.00202,2.61904761905,-0.0957953143163
2.04,2.34432234432,-0.35837191375,0.00204,2.85714285714,0.142299923779
2.06,2.34432234432,-0.35837191375,0.00206,2.85714285714,0.142299923779
2.08,2.34554334554,-0.357150912529,0.00208,2.98290598291,0.268063049542
2.1,2.34554334554,-0.357150912529,0.0021,2.98290598291,0.268063049542
2.12,2.34676434676,-0.355929911308,0.00212,1.70818070818,-1.00666222518
2.14,2.34676434676,-0.355929911308,0.00214,1.70818070818,-1.00666222518
2.16,2.3431013431,-0.359592914971,0.00216,1.09768009768,-1.61716283568
2.18,2.3431013431,-0.359592914971,0.00218,1.09768009768,-1.61716283568
2.2,2.34065934066,-0.362034917413,0.0022,2.38583638584,-0.329006547528
2.22,2.34065934066,-0.362034917413,0.00222,2.38583638584,-0.329006547528
2.24,2.34188034188,-0.360813916192,0.00224,3.15995115995,0.445108226587
2.26,2.34188034188,-0.360813916192,0.00226,3.15995115995,0.445108226587
2.28,2.34554334554,-0.357150912529,0.00228,2.41758241758,-0.297260515781
2.3,2.34554334554,-0.357150912529,0.0023,2.41758241758,-0.297260515781
2.32,2.34676434676,-0.355929911308,0.00232,2.15262515263,-0.562217780739
2.34,2.34676434676,-0.355929911308,0.00234,2.15262515263,-0.562217780739
2.36,2.34920634921,-0.353487908866,0.00236,3.12087912088,0.406036187515
2.38,2.34920634921,-0.353487908866,0.00238,3.12087912088,0.406036187515
2.4,2.35897435897,-0.343719899098,0.0024,3.90842490842,1.19358197506
2.42,2.35897435897,-0.343719899098,0.00242,3.90842490842,1.19358197506
2.44,2.35531135531,-0.347382902761,0.00244,3.81074481074,1.09590187738
2.46,2.35531135531,-0.347382902761,0.00246,3.81074481074,1.09590187738
2.48,2.35531135531,-0.347382902761,0.00248,3.52258852259,0.807745589225
2.5,2.35531135531,-0.347382902761,0.0025,3.52258852259,0.807745589225
2.52,2.35653235653,-0.34616190154,0.00252,3.23687423687,0.52203130351
2.54,2.35653235653,-0.34616190154,0.00254,3.23687423687,0.52203130351
2.56,2.36385836386,-0.338835894214,0.00256,2.71916971917,0.00432678580581
2.58,2.36385836386,-0.338835894214,0.00258,2.71916971917,0.00432678580581
2.6,2.36507936508,-0.337614892993,0.0026,2.35531135531,-0.359531578053
2.62,2.36507936508,-0.337614892993,0.00262,2.35531135531,-0.359531578053
2.64,2.36507936508,-0.337614892993,0.00264,2.62759462759,-0.0872483057693
2.66,2.36507936508,-0.337614892993,0.00266,2.62759462759,-0.0872483057693
2.68,2.3663003663,-0.336393891772,0.00268,2.82661782662,0.111774893254
2.7,2.3663003663,-0.336393891772,0.0027,2.82661782662,0.111774893254
2.72,2.3663003663,-0.336393891772,0.00272,2.72039072039,0.00554778702681
2.74,2.3663003663,-0.336393891772,0.00274,2.72039072039,0.00554778702681
2.76,2.36385836386,-0.338835894214,0.00276,2.61782661783,-0.0970163155373
2.78,2.36385836386,-0.338835894214,0.00278,2.61782661783,-0.0970163155373
2.8,2.36385836386,-0.338835894214,0.0028,2.70207570208,-0.0127672312882
2.82,2.36385836386,-0.338835894214,0.00282,2.70207570208,-0.0127672312882
2.84,2.3663003663,-0.336393891772,0.00284,2.9010989011,0.186255967735
2.86,2.3663003663,-0.336393891772,0.00286,2.9010989011,0.186255967735
2.88,2.37118437118,-0.331509886888,0.00288,2.92185592186,0.207012988492
2.9,2.37118437118,-0.331509886888,0.0029,2.92185592186,0.207012988492
2.92,2.37240537241,-0.330288885667,0.00292,2.77655677656,0.0617138431929
2.94,2.37240537241,-0.330288885667,0.00294,2.77655677656,0.0617138431929
2.96,2.37362637363,-0.329067884446,0.00296,2.65567765568,-0.0591652776863
2.98,2.37362637363,-0.329067884446,0.00298,2.65567765568,-0.0591652776863
3,2.37240537241,-0.330288885667,0.003,2.4884004884,-0.226442444963
3.02,2.37240537241,-0.330288885667,0.00302,2.4884004884,-0.226442444963
3.04,2.36996336996,-0.332730888109,0.00304,2.48962148962,-0.225221443742
3.06,2.36996336996,-0.332730888109,0.00306,2.48962148962,-0.225221443742
