a1, b1, c1, a2, b2, c2, a3, b3, c3
0.155914,-0.672455,0.696060,0.256594,-0.724590,0.623181,-0.100680,0.052135,0.072879,
0.254654,-0.690033,0.707138,0.256400,-0.721134,0.631577,-0.001746,0.031101,0.075561,
0.203445,-0.720047,0.547318,0.251105,-0.721026,0.623151,-0.047659,0.000979,-0.075833,
0.355377,-0.757660,0.548279,0.261532,-0.724689,0.615664,0.093845,-0.032971,-0.067385,
0.119781,-0.719238,0.632187,0.247357,-0.724144,0.617316,-0.127575,0.004906,0.014871,
0.231186,-0.737427,0.625626,0.245740,-0.725472,0.618147,-0.014554,-0.011954,0.007479,
0.196106,-0.653046,0.606598,0.240776,-0.718230,0.616992,-0.044670,0.065184,-0.010394,
0.224747,-0.695221,0.633957,0.239173,-0.715929,0.618688,-0.014427,0.020708,0.015268,
0.328903,-0.753967,0.656357,0.248146,-0.719733,0.622455,0.080757,-0.034235,0.033901,
0.217758,-0.644501,0.521973,0.245108,-0.712209,0.612407,-0.027349,0.067709,-0.090434,
0.081055,-0.534988,0.505554,0.228702,-0.694487,0.601722,-0.147648,0.159499,-0.096168,
0.626968,-0.763504,0.521576,0.268529,-0.701389,0.593707,0.358440,-0.062115,-0.072131,
0.542160,-0.776688,0.625305,0.295892,-0.708919,0.596867,0.246268,-0.067769,0.028438,
0.416901,-0.492172,0.553864,0.307993,-0.687244,0.592567,0.108908,0.195072,-0.038703,
0.486969,-0.709900,0.469284,0.325890,-0.689510,0.580238,0.161079,-0.020390,-0.110954,
0.590714,-0.657394,0.645172,0.352373,-0.686298,0.586732,0.238341,0.028904,0.058440,
0.564941,-0.647751,0.526550,0.373630,-0.682443,0.580714,0.191312,0.034693,-0.054163,
0.384109,-0.552811,0.638947,0.374678,-0.669480,0.586537,0.009432,0.116670,0.052410,
0.390305,-0.433838,0.534225,0.376240,-0.645916,0.581306,0.014064,0.212078,-0.047080,
0.571869,-0.440445,0.793335,0.395803,-0.625369,0.602509,0.176066,0.184924,0.190826,
0.498047,-0.368011,0.716888,0.406028,-0.599633,0.613947,0.092019,0.231622,0.102942,
0.536896,-0.484726,0.675232,0.419114,-0.588142,0.620075,0.117781,0.103416,0.055157,
0.479492,-0.334534,0.869080,0.425152,-0.562782,0.644976,0.054340,0.228248,0.224104,
0.717743,-0.206833,0.707489,0.454411,-0.527187,0.651227,0.263332,0.320354,0.056262,
0.806152,-0.171661,0.767136,0.489585,-0.491634,0.662818,0.316567,0.319973,0.104318,
0.626907,-0.254288,0.786926,0.503318,-0.467900,0.675229,0.123590,0.213612,0.111698,
0.566223,-0.168762,0.905548,0.509608,-0.437986,0.698261,0.056615,0.269224,0.207287,
0.642441,-0.125381,0.845749,0.522891,-0.406725,0.713009,0.119549,0.281344,0.132739,
0.651474,-0.105667,0.801270,0.535750,-0.376620,0.721835,0.115724,0.270952,0.079434,
0.608963,-0.154633,0.586563,0.543071,-0.354421,0.708308,0.065892,0.199788,-0.121745,
0.725662,0.165848,0.804947,0.561330,-0.302394,0.717972,0.164332,0.468242,0.086975,
0.617203,0.191772,0.825211,0.566917,-0.252977,0.728696,0.050285,0.444750,0.096515,
0.599075,0.020218,0.865372,0.570133,-0.225658,0.742364,0.028942,0.245876,0.123008,
0.536484,0.108521,0.983978,0.566768,-0.192240,0.766525,-0.030284,0.300760,0.217453,
0.621597,0.034821,0.835892,0.572251,-0.169534,0.773462,0.049346,0.204354,0.062430,
0.418884,0.175064,0.935715,0.556914,-0.135074,0.789687,-0.138030,0.310138,0.146028,
0.357208,0.200989,0.880600,0.536944,-0.101468,0.798778,-0.179736,0.302457,0.081822,
0.316467,0.285797,0.807327,0.514896,-0.062741,0.799633,-0.198429,0.348538,0.007694,
0.434479,0.197510,0.977997,0.506854,-0.036716,0.817470,-0.072376,0.234226,0.160527,
0.392441,0.357666,0.916672,0.495413,0.002722,0.827390,-0.102972,0.354944,0.089282,
0.379883,0.317688,0.779022,0.483860,0.034219,0.822553,-0.103977,0.283469,-0.043531,
0.318924,0.283188,0.958130,0.467366,0.059116,0.836111,-0.148442,0.224072,0.122019,
0.277252,0.364929,0.858261,0.448355,0.089697,0.838326,-0.171103,0.275232,0.019935,
0.216141,0.450119,0.794601,0.425134,0.125739,0.833953,-0.208993,0.324380,-0.039352,
0.194901,0.405441,0.957474,0.402110,0.153709,0.846305,-0.207210,0.251732,0.111168,
0.266251,0.430374,0.842636,0.388524,0.181376,0.845938,-0.122274,0.248998,-0.003302,
0.305771,0.304810,0.879898,0.380249,0.193719,0.849334,-0.074478,0.111090,0.030564,
0.294540,0.339005,0.840988,0.371678,0.208248,0.848500,-0.077138,0.130757,-0.007512,
0.264404,0.412735,0.753143,0.360951,0.228696,0.838964,-0.096546,0.184039,-0.085821,
0.301865,0.324936,0.948624,0.355042,0.238320,0.849930,-0.053177,0.086616,0.098694,
0.381851,0.352356,0.879181,0.357723,0.249724,0.852855,0.024128,0.102632,0.026326,
0.393616,0.185974,0.991501,0.361312,0.243349,0.866720,0.032303,-0.057375,0.124781,
0.463776,0.177765,0.850418,0.371559,0.236791,0.865090,0.092217,-0.059026,-0.014671,
0.355957,0.370041,0.833389,0.369998,0.250116,0.861920,-0.014041,0.119925,-0.028530,
0.411377,0.287277,0.863449,0.374136,0.253832,0.862072,0.037241,0.033445,0.001377,
0.381027,0.360626,0.857407,0.374825,0.264511,0.861606,0.006202,0.096115,-0.004199,
0.372040,0.345581,0.895905,0.374547,0.272618,0.865036,-0.002507,0.072963,0.030869,
0.355499,0.261017,0.990280,0.372642,0.271458,0.877560,-0.017143,-0.010441,0.112720,
0.279510,0.310883,0.922943,0.363329,0.275401,0.882098,-0.083818,0.035482,0.040845,
0.264938,0.299881,0.896301,0.353490,0.277849,0.883519,-0.088552,0.022032,0.012782,
0.281113,0.270355,0.908615,0.346252,0.277099,0.886028,-0.065139,-0.006744,0.022587,
0.229706,0.348099,0.816574,0.334598,0.284199,0.879083,-0.104892,0.063900,-0.062509,
0.221191,0.298721,0.924438,0.323257,0.285651,0.883619,-0.102066,0.013070,0.040820,
0.236984,0.326462,0.917389,0.314630,0.289732,0.886996,-0.077645,0.036729,0.030393,
0.231293,0.254333,0.990082,0.306296,0.286193,0.897304,-0.075003,-0.031859,0.092778,
0.300537,0.174240,0.939453,0.305720,0.274997,0.901519,-0.005183,-0.100757,0.037934,
0.277069,0.143173,0.909973,0.302855,0.261815,0.902364,-0.025786,-0.118642,0.007609,
0.233109,0.117538,0.937408,0.295880,0.247387,0.905869,-0.062772,-0.129849,0.031540,
0.213242,0.161819,0.901245,0.287616,0.238830,0.905407,-0.074375,-0.077011,-0.004161,
0.230743,0.195038,0.992706,0.281929,0.234451,0.914136,-0.051186,-0.039413,0.078570,
0.363724,0.107162,1.023621,0.290109,0.221722,0.925085,0.073615,-0.114560,0.098536,
0.287506,0.150848,1.016434,0.289848,0.214635,0.934220,-0.002342,-0.063787,0.082214,
0.278305,0.177185,0.921448,0.288694,0.210890,0.932943,-0.010389,-0.033705,-0.011495,
0.261246,0.131866,0.976944,0.285949,0.202988,0.937343,-0.024703,-0.071121,0.039601,
0.246490,0.113678,0.998688,0.282003,0.194057,0.943477,-0.035513,-0.080379,0.055211,
0.208328,0.167618,0.943497,0.274636,0.191413,0.943479,-0.066308,-0.023795,0.000018,
0.173355,0.163742,0.948105,0.264508,0.188646,0.943942,-0.091153,-0.024904,0.004163,
0.232849,0.107590,0.995667,0.261342,0.180540,0.949114,-0.028493,-0.072950,0.046552,
0.211609,0.107651,0.964890,0.256369,0.173251,0.950692,-0.044760,-0.065600,0.014198,
0.252472,0.107635,0.918991,0.255979,0.166690,0.947522,-0.003507,-0.059054,-0.028531,
0.188782,0.075485,1.041870,0.249259,0.157569,0.956957,-0.060477,-0.082084,0.084914,
0.224396,0.020523,0.966995,0.246773,0.143865,0.957960,-0.022377,-0.123341,0.009035,
0.175522,0.088699,0.973618,0.239648,0.138348,0.959526,-0.064126,-0.049649,0.014091,
